Local,Categoria,P,Trocas,R,Disputa,Check-ins
Sweat,Gym,0,0.0,0,0.0,41,
Sun And Moon Beach Yoga,Beach,0,0.0,0,0.0,0,
Strack Van Til,Grocery Store,0,0.0,0,0.0,16,
St Procopius Parish,Church,0,0.0,0,0.0,52,
St Peters Catholic Church,Church,0,0.0,0,0.0,285,
Sprint Store By Wireless Lifestyle,Mobile Phone Shop,0,0.0,0,0.0,1,
Speedway,Gas Station,0,0.0,0,0.0,8,
South Shore Beach,Beach,0,0.0,0,0.0,0,
Soldier Field,Football Stadium,0,0.0,0,0.0,1,
Smart Museum Of Art,Art Museum,0,0.0,0,0.0,0,
Sheraton Grand Chicago,Hotel,0,0.0,0,0.0,4,
Shell,Gas Station,0,0.0,0,0.0,4,
Seven Ten Lounge,Bowling Alley,0,0.0,0,0.0,0,
Seminary Coop Bookstore,Bookstore,0,0.0,0,0.0,91,
Seawall,Beach,0,0.0,0,0.0,0,
Scoops Ice Cream,Dessert Shop,0,0.0,0,0.0,0,
Sanctioned Few Clubhouse,Bar,0,0.0,0,0.0,63,
Saint Anthony Hospital,Hospital,0,0.0,0,0.0,2,
Rush University Medical Center,Hospital,0,0.0,0,0.0,28,
Ron Of Japan,Restaurant,0,0.0,0,0.0,0,
Road Ranger,Gas Station,0,0.0,0,0.0,0,
Riverview Condos,Residential Building (Apartment / Condo),0,0.0,0,0.0,16,
River North Hand Wash Detail,Car Wash,0,0.0,0,0.0,43,
Rehabilitation Institute Of Chicago,Hospital,0,0.0,0,0.0,0,
Reeds Hot Dog Stand,Food Truck,0,0.0,0,0.0,4,
Quads Gym,Gym,0,0.0,0,0.0,22,
Pritzker Military Library,Library,0,0.0,0,0.0,0,
Presence Saints Mary And Elizabeth Medical Center St Mary Campus,Emergency Room,0,0.0,0,0.0,309,
Polar Cap Ice Cream,Ice Cream Shop,0,0.0,0,0.0,0,
Pleasant Prairie Premuim Outlet Mall,Shopping Mall,0,0.0,0,0.0,0,
Planet Fitness,Gym / Fitness Center,0,0.0,0,0.0,41,
Pilsen Community Church,Church,0,0.0,0,0.0,80,
Pierogi Wagon,Food Truck,0,0.0,0,0.0,4,
Paulies,Bar,0,0.0,0,0.0,0,
Parkshore Fitness And Spa,Gym,0,0.0,0,0.0,18,
Park Shore Market,Convenience Store,0,0.0,0,0.0,0,
Park Hyatt Chicago,Hotel,0,0.0,0,0.0,5,
Palmer House A Hilton Hotel,Hotel,0,0.0,0,0.0,15,
