Local,Categoria,P,Trocas,R,Disputa,Check-ins
Bar Real,Bar,0,0.0,0,0.0,0,
Bar Favela Da Vila,Music Venue,0,0.0,0,0.0,0,
Bar Do átila,Bar,0,0.0,0,0.0,0,
Bar Do Skenta,Bar,0,0.0,0,0.0,220,
Bar Do Sacha,Bar,0,0.0,0,0.0,141,
Bar Do Rasta,Bar,0,0.0,0,0.0,53,
Bar Do Mílton,Bar,0,0.0,0,0.0,100,
Bar Do Chagas,Bar,0,0.0,0,0.0,0,
Bar Da Esquina Da Olga,Bar,0,0.0,0,0.0,385,
Bar Aurora,Bar,0,0.0,0,0.0,573,
AçAí Original,Acai House,0,0.0,0,0.0,4,
Auto Escola Santana,Driving School,0,0.0,0,0.0,1,
Auto Escola Flash,Driving School,0,0.0,0,0.0,1,
Aperitivos Valadares,Bar,0,0.0,0,0.0,123,
Amigos Da Costela,Bar,0,0.0,0,0.0,55,
Americanas Express,Department Store,0,0.0,0,0.0,0,
Amarelinho Beer,Bar,0,0.0,0,0.0,0,
Aj Mm,Bar,0,0.0,0,0.0,0,
Aeropuerto Internacional Sao Paulo,Airport,0,0.0,0,0.0,112,
Aeromexico,AeroMexico,0,0.0,0,0.0,57,
Adeva Associação De Deficientes Visuais E Amigos,School,0,0.0,0,0.0,3,
Academia Sp Fit,Gym,0,0.0,0,0.0,4,
Academia Próphisical 2,Gym / Fitness Center,0,0.0,0,0.0,2,
Academia Movimentos Art Sport Center,Gym,0,0.0,0,0.0,2,
Academia Colisão,College Gym,0,0.0,0,0.0,5,
Academia Ação E Saúde,Gym / Fitness Center,0,0.0,0,0.0,8,
Ac Camargo Cancer Center,Medical Center,0,0.0,0,0.0,15,
